source_id,column_name,current_value,priority






 2509-11,badge,NULL,low

 2509-11,pct,NULL,low

 2509-11,pct_url,NULL,low




 2509-1,email,NULL,low
 2509-10,email,NULL,low
 2509-12,email,NULL,low
 2509-13,email,NULL,low
 2509-14,email,NULL,low
 2509-15,email,NULL,low
 2509-2,email,NULL,low
 2509-3,email,NULL,low
 2509-4,email,NULL,low
 2509-5,email,NULL,low
 2509-6,email,NULL,low
 2509-7,email,NULL,low
 2509-8,email,NULL,low
 2509-9,email,NULL,low

 2509-11,service_start,NULL,low

 2509-11,last_earned,NULL,low




















 2509-11,current_assignment,NULL,low
 2509-12,current_assignment,NULL,low
 2509-3,current_assignment,NULL,low

 2509-11,assignment_start,NULL,low
 2509-12,assignment_start,NULL,low
 2509-3,assignment_start,NULL,low

 2509-11,previous_assignments,NULL,low
 2509-12,previous_assignments,NULL,low
 2509-3,previous_assignments,NULL,low

 2509-1,officer_image,NULL,low
 2509-10,officer_image,NULL,low
 2509-11,officer_image,NULL,low
 2509-12,officer_image,NULL,low
 2509-13,officer_image,NULL,low
 2509-14,officer_image,NULL,low
 2509-15,officer_image,NULL,low
 2509-2,officer_image,NULL,low
 2509-3,officer_image,NULL,low
 2509-4,officer_image,NULL,low
 2509-5,officer_image,NULL,low
 2509-6,officer_image,NULL,low
 2509-7,officer_image,NULL,low
 2509-8,officer_image,NULL,low
 2509-9,officer_image,NULL,low

 2509-1,profile_url,NULL,high
 2509-10,profile_url,NULL,high
 2509-11,profile_url,NULL,high
 2509-12,profile_url,NULL,high
 2509-13,profile_url,NULL,high
 2509-14,profile_url,NULL,high
 2509-15,profile_url,NULL,high
 2509-2,profile_url,NULL,high
 2509-3,profile_url,NULL,high
 2509-4,profile_url,NULL,high
 2509-5,profile_url,NULL,high
 2509-6,profile_url,NULL,high
 2509-7,profile_url,NULL,high
 2509-8,profile_url,NULL,high
 2509-9,profile_url,NULL,high

